Object Type	PID	Title	Path	Label	Depth	Deleted	Date Added	Date Updated	MIME Type	Checksum	File Size (bytes)	Number of Children
File	uuid:c35136c2-f177-492b-91bc-4590cb1ca154	1994_Lea_0004.tif	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/1994_Lea_0004.tif"	1994_Lea_0004.tif	5	FALSE	8/19/14 22:03	8/19/14 23:12	image/tiff	3ca39bfb3aaf51cd3a6caca9df1969c2	48163127	
File	uuid:e3d0649a-2ae9-4c1a-b968-052025b1a87f	slide sheet	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/slide sheet"	1994_Lea_0005.tif	5	FALSE	8/19/14 22:04	8/19/14 23:13	image/tiff	7389bb4a3de39587204070a43cee78a4	53645894	
File	uuid:4c1b4add-5526-4be7-a67c-2850c7f18d1d	1994_Lea_0006.tif	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/1994_Lea_0006.tif"	1994_Lea_0006.tif	5	FALSE	8/19/14 22:04	8/19/14 23:13	image/tiff	ad2b53759092f769100db82cfbd27300	48097994	
File	uuid:74eb3905-c2a5-496d-b4d7-5db3796892c7	In Anno Mortis et Pecuniae	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/In Anno Mortis et Pecuniae"	1994_Lea_p0001.tif	5	FALSE	8/19/14 22:05	8/19/14 23:13	image/tiff	cf44975c225be9483a65f1bd73bbfab8	29258492	
File	uuid:33831032-836f-4177-9f3e-652c81ed331d	Zeus	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/Zeus"	1994_Lea_p0002.tif	5	FALSE	8/19/14 22:05	8/19/14 23:14	image/tiff	3a6104dacb07562f1e0ad2dfc47beef7	29354632	
File	uuid:74d05036-b407-42bf-80e9-6a3a5ae91932	Hera	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/Hera"	1994_Lea_p0003.tif	5	FALSE	8/19/14 22:05	8/19/14 23:14	image/tiff	bc83289ad9b91d063c2e790b552e8ceb	59237932	
File	uuid:3e8e8168-32a2-4757-8785-073799f1bbd6	Big Bang	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/Big Bang"	1994_Lea_p0004.tif	5	FALSE	8/19/14 22:06	8/19/14 23:14	image/tiff	9b6dfa8d638a82da97293c987b8f6505	29285540	
File	uuid:0ebac686-915e-463d-b056-785e23763073	Virtural Reality	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/Virtural Reality"	1994_Lea_p0005.tif	5	FALSE	8/19/14 22:06	8/19/14 23:15	image/tiff	8f3c84caaaaf606880e8df3067e6ef00	29476776	
File	uuid:f7caf897-7688-493f-ae89-852651e7a7c2	3516-M	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/3516-M"	1994_Lea_p0006.tif	5	FALSE	8/19/14 22:06	8/19/14 23:15	image/tiff	3483c73e4f7221e2fdbcc5dc23636f7f	29281004	
File	uuid:d560dfad-9978-4af9-bad0-030cfe962487	3517-F	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/3517-F"	1994_Lea_p0007.tif	5	FALSE	8/19/14 22:07	8/19/14 23:16	image/tiff	141afe1e3dd02a327dabc046b7a0d2f5	29473608	
File	uuid:4dd63cd8-eca9-4785-97b6-1bf6b115aa0c	Big Bang	"/Collections/Master's Papers/Art MFA Theses/Studio Art MFA Projects, 1972-2003/Thesis Statement/Big Bang"	1994_Lea_s0001.tif	5	FALSE	8/19/14 22:07	8/19/14 23:16	image/tiff	d2185366b92953db30cbc1cc3c108612	30334100	
